Drew Brees ,4620,33,22,5476,46,14,5177,43,19,27.3
Matthew Stafford ,535,6,1,5038,41,16,4967,20,17,23.0
Philip Rivers ,4710,30,13,4624,27,20,3606,26,15,22.4
Ben Roethlisberger ,3200,17,5,4077,21,14,3265,26,8,21.3
Matt Ryan ,3705,28,9,4177,29,12,4719,32,14,21.0
Tony Romo ,1605,11,7,4184,31,10,4903,28,19,21.3
Tom Brady ,3900,36,4,5235,39,12,4827,34,8,19.9
Carson Palmer ,3970,26,20,2753,13,16,4018,22,14,19.4
Alex Smith ,2370,14,10,3144,17,5,1737,13,5,20.5
Joe Flacco ,3622,25,10,3610,20,12,3817,22,10,18.2
Eli Manning ,4002,31,25,4933,29,16,3948,26,15,16.7
Chad Henne ,3301,15,19,868,4,4,2084,11,11,14.8
Ryan Fitzpatrick ,3000,23,15,3832,24,23,3400,24,16,19.9
Jay Cutler ,3274,23,16,2319,13,7,3033,19,14,19.9
Aaron Rodgers ,3922,28,11,4643,45,6,4295,39,8,23.0
Matt Schaub ,4370,24,12,2479,15,6,4008,22,12,15.8
Jason Campbell ,2387,13,8,1170,6,4,265,2,2,17.3
Matt Cassel ,3116,27,7,1713,10,9,1796,6,12,16.2
Sam Bradford ,3512,18,15,2164,6,6,3702,21,13,20.5
Kellen Clemens ,6,0,0,546,2,1,39,0,1,12.2
Michael Vick ,3018,21,6,3303,18,14,2362,12,10,17.4
Matt Flynn ,433,3,2,518,6,2,68,0,0,15.4
Brian Hoyer ,122,1,1,22,0,0,330,1,2,17.5
Josh Freeman ,3451,25,6,3592,16,22,4065,27,17,12.0
Kyle Orton ,3653,20,9,779,1,2,89,1,0,14.4
Chase Daniel ,16,0,0,29,0,0,10,0,0,4.3
Matt Hasselbeck ,3001,12,17,3571,18,14,1367,7,5,2.1
Matt Moore ,857,5,10,2497,16,9,131,1,0,2.7
Josh Johnson ,111,0,0,246,1,2,0,0,0,1.0
Colt McCoy ,1576,6,9,2733,14,11,79,1,0,0.2
Shaun Hill ,2686,16,12,33,0,0,172,2,0,-0.2
