Antonio Brown,110,1499,8,252,15.75
Jordy Nelson,85,1314,8,230,14.38
Dez Bryant,93,1233,13,228,14.25
Randall Cobb,31,433,4,202,12.63
Emmanuel Sanders,67,740,6,201,12.56
Julio Jones,41,580,2,193,12.87
T.Y. Hilton,82,1083,5,179,11.93
Alshon Jeffery,89,1421,7,177,11.06
Golden Tate,64,898,5,162,10.13
Calvin Johnson,84,1492,12,156,12.00
DeAndre Hopkins,52,802,2,155,9.69
DeSean Jackson,82,1332,9,154,10.27
Mike Wallace,73,930,5,146,9.13
Torrey Smith,65,1128,4,143,8.94
Steve Smith,64,745,4,141,8.81
Anquan Boldin,85,1179,7,137,8.56
Brandon LaFell,49,627,5,137,8.56
A.J. Green,98,1426,11,136,10.46
Julian Edelman,105,1056,6,133,9.50
Roddy White,63,711,3,132,9.43
Eric Decker,87,1288,11,126,8.40
Mohamed Sanu,47,455,2,123,7.69
Malcom Floyd,6,149,0,122,7.63
Brandon Marshall,100,1295,12,118,9.08
Marques Colston,75,943,5,118,7.38
Michael Floyd,65,1041,5,118,7.38
Rueben Randle,41,611,6,112,7.00
Kenny Stills,32,641,5,111,7.40
Kendall Wright,94,1079,2,111,7.93
Terrance Williams,44,736,5,110,6.88
Vincent Jackson,78,1224,7,110,6.88
Greg Jennings,68,804,4,110,6.88
Andre Johnson,109,1407,5,106,7.07
James Jones,59,817,3,101,6.31
Doug Baldwin,50,778,5,101,6.31
Robert Woods,40,587,3,100,6.25
Keenan Allen,71,1046,8,98,7.00
Andrew Hawkins,12,199,0,96,6.40
Kenny Britt,11,96,0,94,5.88
Michael Crabtree,19,284,1,94,5.88
Andre Holmes,25,431,1,93,5.81
Pierre Garcon,113,1346,5,93,5.81
Reggie Wayne,38,503,2,90,6.00
Larry Fitzgerald,82,954,10,90,6.43
Percy Harvin,1,17,0,79,6.08
Jarius Wright,26,434,3,78,4.88
Markus Wheaton,6,64,0,78,4.88
Dwayne Bowe,57,673,5,77,5.13
Nate Washington,58,919,3,77,4.81
Riley Cooper,47,835,8,74,4.63
Harry Douglas,85,1067,2,70,5.83
Miles Austin,24,244,0,69,5.75
Justin Hunter,18,354,4,68,5.67
Cecil Shorts,66,777,3,67,5.15
Jerricho Cotchery,46,602,10,66,4.40
Hakeem Nicks,56,896,0,65,4.06
Jermaine Kearse,22,346,4,64,4.27
Chris Hogan,10,83,0,63,3.94
Cole Beasley,39,368,2,62,3.88
Steve Johnson,52,597,3,62,4.77
Cordarrelle Patterson,45,469,4,60,3.75
Jeremy Kerley,43,523,3,60,3.75
Tavon Austin,40,418,4,59,3.93
Brian Hartline,76,1016,4,59,3.69
Wes Welker,73,778,10,58,4.14
Brian Quick,18,302,2,56,8.00
Lance Kendricks,32,258,4,56,3.50
Andre Roberts,43,471,2,55,3.44
Niles Paul,4,51,0,55,3.44
Stedman Bailey,17,226,0,51,3.64
Travis Benjamin,5,105,0,51,3.19
Louis Murphy,6,37,1,50,4.55
Jason Avant,38,447,2,41,2.56
Damaris Johnson,2,14,0,41,2.56
Brice Butler,9,103,0,40,2.67
Brandon Gibson,30,326,3,36,2.57
Jaron Brown,11,140,1,35,2.19
Lance Moore,37,457,2,34,2.43
Jeremy Ross,6,67,1,33,2.06
Ricardo Lockette,5,82,0,32,2.00
Josh Gordon,87,1646,9,30,6.00
Kenbrell Thompkins,32,466,4,27,1.93
Danny Amendola,54,633,2,26,1.63
Marlon Brown,49,524,7,26,1.86
Nick Toon,4,68,0,26,3.25
Greg Salas,8,143,0,25,2.50
Brandon Tate,1,6,0,25,1.56
Chris Givens,34,569,0,22,1.57
Eric Weems,1,8,0,22,1.38
Chris Owusu,13,114,0,22,2.75
Mike Williams,22,216,2,20,2.22
Marquess Wilson,2,13,0,20,2.86
Ted Ginn,36,556,5,20,1.25
Austin Pettis,38,399,4,18,2.00
Josh Morgan,20,214,0,16,1.14
Donnie Avery,40,596,2,16,2.67
T.J. Graham,23,361,2,15,1.25
Rod Streater,60,888,4,14,4.67
Brian Tyms,2,12,0,14,1.27
Santana Moss,42,452,2,12,1.20
Vincent Brown,41,472,1,12,1.71
Robert Meachem,16,324,2,11,1.00
Junior Hemingway,13,125,2,11,0.79
Jacoby Jones,37,455,2,11,0.69
Denarius Moore,46,695,5,10,1.00
A.J. Jenkins,8,130,0,9,1.00
David Nelson,36,423,2,9,1.50
Keshawn Martin,22,253,2,8,0.50
Dane Sanzenbacher,6,61,0,8,0.80
Dwayne Harris,9,80,2,8,0.50
Mike Brown,32,446,2,7,1.40
Santonio Holmes,23,456,1,7,0.78
Greg Little,41,465,2,7,1.17
Andre Caldwell,16,200,3,5,0.31
Kris Durham,38,490,2,5,1.25
Kevin Ogletree,21,269,2,5,0.71
Marquise Goodwin,17,283,3,5,0.50
Jeff Maehl,4,67,1,5,0.63
Seyi Ajirotutu,3,64,1,5,0.31
Ace Sanders,51,484,1,4,0.33
Jerrel Jernigan,29,329,2,4,2.00
Aaron Dobson,37,519,4,4,1.00
Quinton Patton,3,34,0,4,1.00
DeVier Posey,15,155,0,3,3.00
Ryan Broyles,8,85,0,3,0.60
Jarrett Boykin,49,681,3,2,0.15
Aldrick Robinson,18,365,2,1,0.14
Josh Cribbs,2,6,0,1,0.17
Brad Smith,2,27,0,1,0.08
Darrius Heyward-Bey,29,309,1,1,0.06
Damian Williams,15,178,0,1,0.33
Griff Whalen,24,259,2,,0.00
